,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
CO,703,CO,67,2015-08-01,0.0,False,-4.605170185988091,0.033369791899798606,-4.6385399778878895
CO,704,CO,68,2015-09-01,0.0,False,-4.605170185988091,0.06001888835783209,-4.665189074345923
CO,705,CO,69,2015-10-01,0.0,False,-4.605170185988091,0.09443110316884518,-4.699601289156936
CO,706,CO,70,2015-11-01,0.0,False,-4.605170185988091,0.13604645539694626,-4.741216641385037
CO,707,CO,71,2015-12-01,0.0,False,-4.605170185988091,0.18273111238676076,-4.787901298374852
CO,708,CO,72,2016-01-01,0.0,False,-4.605170185988091,0.23008380055963062,-4.8352539865477215
CO,709,CO,73,2016-02-01,0.0,False,-4.605170185988091,0.2706577277971185,-4.875827913785209
CO,710,CO,74,2016-03-01,0.0,False,-4.605170185988091,0.2931713719714564,-4.898341557959547
CO,711,CO,75,2016-04-01,0.0,False,-4.605170185988091,0.2818322488249292,-4.88700243481302
CO,712,CO,76,2016-05-01,0.0,False,-4.605170185988091,0.21596168456696585,-4.821131870555057
CO,713,CO,77,2016-06-01,0.0,False,-4.605170185988091,0.07018380125991097,-4.675353987248002
CO,714,CO,78,2016-07-01,0.0,False,-4.605170185988091,-0.18447664044333667,-4.420693545544754
CO,715,CO,79,2016-08-01,0.0,False,-4.605170185988091,-0.5781646099108775,-4.027005576077213
CO,716,CO,80,2016-09-01,0.0,False,-4.605170185988091,-1.1379504658367559,-3.467219720151335
CO,717,CO,81,2016-10-01,0.0,False,-4.605170185988091,-1.8812684900831687,-2.7239016959049223
CO,718,CO,82,2016-11-01,0.0,False,-4.605170185988091,-2.8065871234150297,-1.7985830625730612
CO,719,CO,83,2016-12-01,0.0,False,-4.605170185988091,-3.8810203317625325,-0.7241498542255582
CO,720,CO,84,2017-01-01,81.0,False,4.394449154672439,3.9747137116615763,0.41973544301086285
CO,721,CO,85,2017-02-01,77.0,False,4.343805421853684,2.8550787510402484,1.4887266708134357
CO,722,CO,86,2017-03-01,70.0,False,4.248495242049359,1.843772342662274,2.4047228993870853
CO,723,CO,87,2017-04-01,65.0,False,4.174387269895637,1.0371794251082287,3.137207844787408
CO,724,CO,88,2017-05-01,69.0,False,4.23410650459726,0.5477117424828895,3.6863947621143702
CO,725,CO,89,2017-06-01,74.0,False,4.30406509320417,0.23428186298442633,4.069783230219744
CO,726,CO,90,2017-07-01,69.0,False,4.23410650459726,-0.07989485239942073,4.31400135699668
CO,727,CO,91,2017-08-01,70.0,False,4.248495242049359,-0.2010867060053796,4.449581948054739
CO,728,CO,92,2017-09-01,73.0,False,4.290459441148391,-0.2152667869817657,4.505726228130157
CO,729,CO,93,2017-10-01,64.0,False,4.1588830833596715,-0.34940089349940706,4.508283976859079
CO,730,CO,94,2017-11-01,63.0,False,4.143134726391533,-0.33638246770309177,4.479517194094624
CO,731,CO,95,2017-12-01,56.0,False,4.02535169073515,-0.4105128407297727,4.435864531464922
CO,732,CO,96,2018-01-01,78.0,False,4.356708826689592,-0.03144943944678946,4.388158266136381
CO,733,CO,97,2018-02-01,77.0,False,4.343805421853684,0.0034166272571019007,4.340388794596582
CO,734,CO,98,2018-03-01,66.0,False,4.189654742026425,-0.10636761398256844,4.296022356008994
CO,735,CO,99,2018-04-01,71.0,False,4.2626798770413155,0.004097743716617863,4.258582133324698
CO,736,CO,100,2018-05-01,61.0,False,4.110873864173311,-0.11894465175508362,4.229818515928395
CO,737,CO,101,2018-06-01,60.0,False,4.0943445622221,-0.11720562671129642,4.211550188933397
CO,738,CO,102,2018-07-01,64.0,False,4.1588830833596715,-0.0447303432307633,4.203613426590435
CO,739,CO,103,2018-08-01,73.0,False,4.290459441148391,0.08656836511000598,4.203891076038385
CO,740,CO,104,2018-09-01,67.0,False,4.204692619390966,-0.004827859304646687,4.209520478695612
CO,741,CO,105,2018-10-01,71.0,False,4.2626798770413155,0.043598094975664026,4.219081782065651
CO,742,CO,106,2018-11-01,68.0,False,4.219507705176107,-0.01156696415418601,4.231074669330293
CO,743,CO,107,2018-12-01,57.0,False,4.04305126783455,-0.20167419075303972,4.24472545858759
CO,744,CO,108,2019-01-01,83.0,False,4.418840607796598,0.1597729225969058,4.2590676851996925
CO,745,CO,109,2019-02-01,78.0,False,4.356708826689592,0.08693517867338851,4.269773648016203
CO,746,CO,110,2019-03-01,75.0,False,4.31748811353631,0.042309585606305156,4.275178527930005
CO,747,CO,111,2019-04-01,78.0,False,4.356708826689592,0.08164240121105593,4.275066425478536
CO,748,CO,112,2019-05-01,70.0,False,4.248495242049359,-0.021431358909977938,4.269926600959337
CO,749,CO,113,2019-06-01,65.0,False,4.174387269895637,-0.08722175146116484,4.261609021356802
CO,750,CO,114,2019-07-01,68.0,False,4.219507705176107,-0.03209875916404936,4.251606464340156
CO,751,CO,115,2019-08-01,73.0,False,4.290459441148391,0.050501429427447064,4.239958011720944
CO,752,CO,116,2019-09-01,68.0,False,4.219507705176107,-0.006660060815198321,4.226167765991305
CO,753,CO,117,2019-10-01,67.0,False,4.204692619390966,-0.005888900742873737,4.2105815201338395
CO,754,CO,118,2019-11-01,63.0,False,4.143134726391533,-0.0502993397260294,4.193434066117562
CO,755,CO,119,2019-12-01,66.0,False,4.189654742026425,0.014792694460652456,4.174862047565773
CO,756,CO,120,2020-01-01,80.0,False,4.382026634673881,0.22786284890087583,4.154163785773005
CO,757,CO,121,2020-02-01,70.0,False,4.248495242049359,0.1176110951078897,4.13088414694147
CO,758,CO,122,2020-03-01,54.0,False,3.9889840465642745,-0.11938166485744794,4.1083657114217225
